DATA_MANAGE_NO,DATA_TITLE_NM,SUMRY_CN,SBJT_NM,MAIN_THUMB_URL,CNTNTS_URL,ERA_NM,CTPRVN_NM,SIGNGU_NM,ADDR,RELATE_RSTRNT_NM,RSTRNT_TEL_NO,RSTRNT_ADDR,REGIST_DE,CORE_KWRD_CN,OPN_DE
768,"식혜는 색이 뽀얗고 맛이 달다는 상식을 뛰어넘다, 안동식혜","안동식혜는 찹쌀로 지은 고두밥에 엿기름, 무, 고춧가루, 생강, 물을 재료로 하여 따뜻한 곳에서 발효시킨 전통음료이다. 식혜라는 명칭을 사용하고 있지만, 일반적으로 알려진 단맛의 감주와는 달리 재료에서 우러난 알싸한 향과 매콤하고 얼큰한 맛을 지닌 안동과 안동문화권에 속한 경북북부지방에만 있는 경상북도 안동시의 향토음식이다.",특별한 날에 먹는 전통음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/160/25669/7432/c/25669-thumb.jpg,https://ncms.nculture.org/food/story/1929,조선-조선 후기(1593~1863),경상북도,안동시,경북 안동시 서동문로 203(동부동),헛제사밥까치구멍집,0548551056,경상북도 안동시 석주로 203,20180906,"경상북도, 안동시, 향토음식, 안동식혜, 식혜, 전통음료",20221230
769,제주를 대표하는 생선 ‘자리돔’으로 담근 자리젓,"자리젓은 옥돔, 다금바리와 더불어 제주도를 대표하는 물고기 중 하나인 자리돔을 소금에 절여 발효시킨 젓갈로 제주특별자치도의 향토 음식이다.  제주는 사면이 바다로 둘러싸인 지리적 여건으로 인하여 자리젓 이외에도 고등에젓(고등어젓), 깅이젓(게젓), 멜젓(멸치젓), 구젱기젓(소라젓), 게우젓(전복내장젓) 등 다양한 젓갈이 발달하였다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/239/26259/10814/c/26259-thumb.jpg,https://ncms.nculture.org/food/story/1930,해당없음,제주특별자치도,제주시,"제주특별자치도 중앙로 2, 2층",제주오름젓갈,,제주특별자치도 제주시 한림읍 중산간서로 4463,20180716,"자리젓, 자리돔, 제주특별자치도, 향토음식, 자리, 젓갈",20221230
770,부산의 명물로 거듭난 기장 짚불구이 곰장어,기장 곰장어 짚불구이는 기장 앞바다에서 잡은 먹장어를 짚불에 통째로 구워 먹는 부산광역시 기장군의 향토음식이다. 부산광역시 기장군 기장읍 시랑리는 곰장어 짚불구이의 원조가 되는 지역으로 곰장어 음식점 타운이 형성되어 있다.,지역 향토 음식,,https://ncms.nculture.org/food/story/1931,근대-일제강점기(1910.8.22~1945.8.14),부산광역시,기장군,부산광역시 기장군 기장읍 시랑리,기장곰장어,0517212934,부산광역시 기장군 기장읍 기장해안로 70,20180525,"짚불구이곰장어, 곰장어, 부산광역시, 기장군, 향토음식",20221230
771,"영조(英祖)의 입맛을 사로잡은 최고의 별미, 순창고추장",순창고추장은 음력 7월 처서를 전후하여 묵은 콩으로 쑨 메줏가루에 햇고추로 만들어 두었던 고춧가루와 찹쌀을 섞어 만든 전라북도 순창군의 특산물이다. 조선 21대 국왕 영조(英祖)는 궁 밖에서 들여온 순창고추장을 매우 사랑하였던 인물로 그 관련기록이 『승정원일기』에 구체적으로 전하고 있다. 순창고추장은 18세기 이시필이 지은 『수문사설』에 ‘순창고추장 만드는 법’으로 소개될 정도로 300년이 넘는 역사를 지닌 향토음식이기도 하다.,지역 특산물,https://minio.nculture.org/amsweb-opt/multimedia_assets/90/29771/14342/c/순창장류축제__20191018_111816-thumb.jpg,https://ncms.nculture.org/food/story/1932,조선-조선 후기(1593~1863),전라북도,순창군,전북 순창군 순창읍 장류로 407-11,가남전통고추장,0636533604,전라북도 순창군 순창읍 민속마을길 27,20180906,"전라북도, 순창군, 특산물, 순창고추장, 고추장, 고추",20221230
772,"영조(英祖)의 입맛을 사로잡은 최고의 별미, 순창고추장",순창고추장은 음력 7월 처서를 전후하여 묵은 콩으로 쑨 메줏가루에 햇고추로 만들어 두었던 고춧가루와 찹쌀을 섞어 만든 전라북도 순창군의 특산물이다. 조선 21대 국왕 영조(英祖)는 궁 밖에서 들여온 순창고추장을 매우 사랑하였던 인물로 그 관련기록이 『승정원일기』에 구체적으로 전하고 있다. 순창고추장은 18세기 이시필이 지은 『수문사설』에 ‘순창고추장 만드는 법’으로 소개될 정도로 300년이 넘는 역사를 지닌 향토음식이기도 하다.,지역 특산물,https://minio.nculture.org/amsweb-opt/multimedia_assets/90/29771/14342/c/순창장류축제__20191018_111816-thumb.jpg,https://ncms.nculture.org/food/story/1932,조선-조선 후기(1593~1863),전라북도,순창군,전북 순창군 순창읍 장류로 407-11,문정희할머니고추장,0636538230,전라북도 순창군 순창읍 민속마을길 22-8,20180906,"전라북도, 순창군, 특산물, 순창고추장, 고추장, 고추",20221230
773,"영조(英祖)의 입맛을 사로잡은 최고의 별미, 순창고추장",순창고추장은 음력 7월 처서를 전후하여 묵은 콩으로 쑨 메줏가루에 햇고추로 만들어 두었던 고춧가루와 찹쌀을 섞어 만든 전라북도 순창군의 특산물이다. 조선 21대 국왕 영조(英祖)는 궁 밖에서 들여온 순창고추장을 매우 사랑하였던 인물로 그 관련기록이 『승정원일기』에 구체적으로 전하고 있다. 순창고추장은 18세기 이시필이 지은 『수문사설』에 ‘순창고추장 만드는 법’으로 소개될 정도로 300년이 넘는 역사를 지닌 향토음식이기도 하다.,지역 특산물,https://minio.nculture.org/amsweb-opt/multimedia_assets/90/29771/14342/c/순창장류축제__20191018_111816-thumb.jpg,https://ncms.nculture.org/food/story/1932,조선-조선 후기(1593~1863),전라북도,순창군,전북 순창군 순창읍 장류로 407-11,순창명성전통식품,0636522666,전라북도 순창군 순창읍 민속마을길 37,20180906,"전라북도, 순창군, 특산물, 순창고추장, 고추장, 고추",20221230
774,"영조(英祖)의 입맛을 사로잡은 최고의 별미, 순창고추장",순창고추장은 음력 7월 처서를 전후하여 묵은 콩으로 쑨 메줏가루에 햇고추로 만들어 두었던 고춧가루와 찹쌀을 섞어 만든 전라북도 순창군의 특산물이다. 조선 21대 국왕 영조(英祖)는 궁 밖에서 들여온 순창고추장을 매우 사랑하였던 인물로 그 관련기록이 『승정원일기』에 구체적으로 전하고 있다. 순창고추장은 18세기 이시필이 지은 『수문사설』에 ‘순창고추장 만드는 법’으로 소개될 정도로 300년이 넘는 역사를 지닌 향토음식이기도 하다.,지역 특산물,https://minio.nculture.org/amsweb-opt/multimedia_assets/90/29771/14342/c/순창장류축제__20191018_111816-thumb.jpg,https://ncms.nculture.org/food/story/1932,조선-조선 후기(1593~1863),전라북도,순창군,전북 순창군 순창읍 장류로 407-11,순창전통민속고추장,0636534334,전라북도 순창군 순창읍 민속마을길 56-1,20180906,"전라북도, 순창군, 특산물, 순창고추장, 고추장, 고추",20221230
775,"영조(英祖)의 입맛을 사로잡은 최고의 별미, 순창고추장",순창고추장은 음력 7월 처서를 전후하여 묵은 콩으로 쑨 메줏가루에 햇고추로 만들어 두었던 고춧가루와 찹쌀을 섞어 만든 전라북도 순창군의 특산물이다. 조선 21대 국왕 영조(英祖)는 궁 밖에서 들여온 순창고추장을 매우 사랑하였던 인물로 그 관련기록이 『승정원일기』에 구체적으로 전하고 있다. 순창고추장은 18세기 이시필이 지은 『수문사설』에 ‘순창고추장 만드는 법’으로 소개될 정도로 300년이 넘는 역사를 지닌 향토음식이기도 하다.,지역 특산물,https://minio.nculture.org/amsweb-opt/multimedia_assets/90/29771/14342/c/순창장류축제__20191018_111816-thumb.jpg,https://ncms.nculture.org/food/story/1932,조선-조선 후기(1593~1863),전라북도,순창군,전북 순창군 순창읍 장류로 407-11,순창전통별미고추장,0636526242,전라북도 순창군 순창읍 민속마을길 15,20180906,"전라북도, 순창군, 특산물, 순창고추장, 고추장, 고추",20221230
776,“생맥주 집은 생맥주가 맛있어야 하고 노가리는 천 원에 파는 게 예의”,"우리나라에 최초의 맥주공장이 들어선 것은 1933년이다. 일본의 자본으로 조선맥주회사와 소화기린맥주회사가 설립된다. 광복이 되고 미 군정이 관리했을 때에는 미군이 마실 맥주를 판매했다. 맥주회사의 민간 경영은 1952년부터 시작됐다. 을지로 3가 인쇄골목의 또다른 이름은 노가리골목인데, 노가리골목을 만든 가게가 을지오비베어다. 1980년 12월부터 하루도 빠짐없이 영업했고, 지금은 2대째 딸이 물려받아 영업하고 있다.",우리 음식의 맛과 이야기,https://minio.nculture.org/amsweb-opt/multimedia_assets/140/29198/19903/c/29198-thumb.jpg,https://ncms.nculture.org/food/story/1933,현대-현대(1945.8.15~현재),서울특별시,,서울특별시 을지로3가,,,,20191008,"생맥주, 노가리, 호프",20221230
777,“쌍화차의 노른자는 터뜨리면 안 돼”,"근대의 다방은 예술인들이 모여 시대를 이야기하고 문화를 꽃피웠던 장소였다. 지금은 자판기가 골목마다 서 있고 입맛에 따른 다양한 커피믹스를 쉽게 살 수 있다. 게다가 정수기가 사무실마다 설치되어 있어 사람들은 다방을 찾지 않고, 커피 배달문화가 사라졌다. 이런 시대에 을지로에서 35년간 쌍화차를 끓이는 집이 있다. 끓인 쌍화액 위에 달걀 노른자를 띄우고 잣과 대추를 쏭쏭 썰어 올리는 쌍화차는 하루 치의 건강이다.",우리 음식의 맛과 이야기,https://minio.nculture.org/amsweb-opt/multimedia_assets/139/29190/19925/c/29190-thumb.jpg,https://ncms.nculture.org/food/story/1934,현대-현대(1945.8.15~현재),서울특별시,중구,서울 중구 충무로 72-1,을지다방,0222721886,서울특별시 중구 을지로 124-1 2층,20191008,"다방커피, 쌍화차, 찻집, 카페, 커피믹스, 을지다방, 서울 중구 맛집",20221230
778,"제주인의 겨울철 보양식, 돼지고기엿",돼지고기엿은 제주도의 대표적인 가축이었던 토종 흑돼지의 고기를 차좁쌀로 만든 감주에 넣고 고아서 만든 겨울철의 단백질 공급원이자 보양식으로 삼았던 제주특별자치도의 향토음식이다.제주에서는 겨울철 부족해질 수 있는 영양분을 보충해 주기 위해 육류를 부재료로 한 엿이 발달하게 되었다.,지역 향토 음식,,https://ncms.nculture.org/food/story/1935,해당없음,제주특별자치도,제주시,"제주특별자치도 중앙로 2, 2층",도구리영농조합법인,0647828783,제주특별자치도 제주시 조천읍 선흘동1길 17,20180709,"돼지고기엿, 엿, 제주특별자치도, 향토음식, 통시",20221230
779,바다내음 그윽한 강릉 초당두부,초당두부는 강원도 강릉시 초당동에서 제조하는 특산 두부이다. 초당두부가 생산되는 강릉에서는 천일염이 생산되지 않기 때문에 소금 대신 동해의 깨끗한 바닷물을 간수로 이용하여 만드는 것이 특징이다.,지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/211/25924/7581/c/25924-thumb.jpg,https://ncms.nculture.org/food/story/1936,해당없음,강원도,강릉시,강원 강릉시 교동 1785,강릉초당두부,0336521111,강원도 강릉시 초당순두부길 124-11,20180330,"초당두부, 강원도, 강릉, 순두부, 향토음식",20221230
780,바다내음 그윽한 강릉 초당두부,초당두부는 강원도 강릉시 초당동에서 제조하는 특산 두부이다. 초당두부가 생산되는 강릉에서는 천일염이 생산되지 않기 때문에 소금 대신 동해의 깨끗한 바닷물을 간수로 이용하여 만드는 것이 특징이다.,지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/211/25924/7581/c/25924-thumb.jpg,https://ncms.nculture.org/food/story/1936,해당없음,강원도,강릉시,강원 강릉시 교동 1785,김우정초당짬뽕순두부,0336511210,강원도 강릉시 초당순두부길 102,20180330,"초당두부, 강원도, 강릉, 순두부, 향토음식",20221230
781,바다내음 그윽한 강릉 초당두부,초당두부는 강원도 강릉시 초당동에서 제조하는 특산 두부이다. 초당두부가 생산되는 강릉에서는 천일염이 생산되지 않기 때문에 소금 대신 동해의 깨끗한 바닷물을 간수로 이용하여 만드는 것이 특징이다.,지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/211/25924/7581/c/25924-thumb.jpg,https://ncms.nculture.org/food/story/1936,해당없음,강원도,강릉시,강원 강릉시 교동 1785,농촌순두부,0336514009,강원도 강릉시 초당순두부길 108,20180330,"초당두부, 강원도, 강릉, 순두부, 향토음식",20221230
782,바다내음 그윽한 강릉 초당두부,초당두부는 강원도 강릉시 초당동에서 제조하는 특산 두부이다. 초당두부가 생산되는 강릉에서는 천일염이 생산되지 않기 때문에 소금 대신 동해의 깨끗한 바닷물을 간수로 이용하여 만드는 것이 특징이다.,지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/211/25924/7581/c/25924-thumb.jpg,https://ncms.nculture.org/food/story/1936,해당없음,강원도,강릉시,강원 강릉시 교동 1785,차현희순두부청국장,0336510812,강원도 강릉시 초당동 6-7,20180330,"초당두부, 강원도, 강릉, 순두부, 향토음식",20221230
783,"웰빙식품으로 각광받는 '미운 사위국', 강진 매생이국",매생이국은 참기름에 굴과 마늘을 볶다가 강진만과 장흥만에서 채취한 매생이를 넣어서 끓여낸 국으로 전라남도 강진군의 대표적인 향토음식이다. 전라남도 강진군 마량면 마량리 980-61번지 마량항 일대에는 ‘마량 회타운’이 형성되어 있다.,지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/14/29998/15768/c/매생이국-(1)-thumb.jpg,https://ncms.nculture.org/food/story/1937,해당없음,전라남도,무안군,전라남도 무안군 삼향읍 남악로 222(남도소리울림터 2층),마량항,0614303267,전라남도 강진군 마량면 미항로 150,20180328,"매생이국, 매생이, 전라남도, 강진군, 마량항, 장흥군, 향토음식",20221230
784,‘음식이 약’~ 산삼과 견주어 보는 더덕! 더덕고추장구이,"더덕고추장구이는 껍질을 벗겨낸 더덕을 소금물에 담가 쓴맛을 빼낸 다음 방망이로 얇게 두드려 편 후 기름장을 발라 초벌구이하고, 고추장 양념을 발라가며 석쇠나 팬에 다시 구워낸 음식이다. 더덕 특유의 식감과 향이 일품이다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/226/26173/7696/c/26173-thumb.jpg,https://ncms.nculture.org/food/story/1938,해당없음,충청북도,제천시,충북 제천시 의림대로 125(시민회관 3층),국민돼지,0314140806,경기도 안산시 단원구 광덕대로 161 126호,20180718,"더덕구이, 고추장, 산삼, 산에서 나는 고기, 사포닌",20221230
785,‘음식이 약’~ 산삼과 견주어 보는 더덕! 더덕고추장구이,"더덕고추장구이는 껍질을 벗겨낸 더덕을 소금물에 담가 쓴맛을 빼낸 다음 방망이로 얇게 두드려 편 후 기름장을 발라 초벌구이하고, 고추장 양념을 발라가며 석쇠나 팬에 다시 구워낸 음식이다. 더덕 특유의 식감과 향이 일품이다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/226/26173/7696/c/26173-thumb.jpg,https://ncms.nculture.org/food/story/1938,해당없음,충청북도,제천시,충북 제천시 의림대로 125(시민회관 3층),도올,0326832220,경기도 부천시 소사로775번길 25,20180718,"더덕구이, 고추장, 산삼, 산에서 나는 고기, 사포닌",20221230
786,‘음식이 약’~ 산삼과 견주어 보는 더덕! 더덕고추장구이,"더덕고추장구이는 껍질을 벗겨낸 더덕을 소금물에 담가 쓴맛을 빼낸 다음 방망이로 얇게 두드려 편 후 기름장을 발라 초벌구이하고, 고추장 양념을 발라가며 석쇠나 팬에 다시 구워낸 음식이다. 더덕 특유의 식감과 향이 일품이다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/226/26173/7696/c/26173-thumb.jpg,https://ncms.nculture.org/food/story/1938,해당없음,충청북도,제천시,충북 제천시 의림대로 125(시민회관 3층),마포생삼겹,0325128283,인천광역시 부평구 마장로 453,20180718,"더덕구이, 고추장, 산삼, 산에서 나는 고기, 사포닌",20221230
787,‘음식이 약’~ 산삼과 견주어 보는 더덕! 더덕고추장구이,"더덕고추장구이는 껍질을 벗겨낸 더덕을 소금물에 담가 쓴맛을 빼낸 다음 방망이로 얇게 두드려 편 후 기름장을 발라 초벌구이하고, 고추장 양념을 발라가며 석쇠나 팬에 다시 구워낸 음식이다. 더덕 특유의 식감과 향이 일품이다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/226/26173/7696/c/26173-thumb.jpg,https://ncms.nculture.org/food/story/1938,해당없음,충청북도,제천시,충북 제천시 의림대로 125(시민회관 3층),옥돌위에석쇠한판,0319059192,경기도 고양시 일산동구 정발산로 38,20180718,"더덕구이, 고추장, 산삼, 산에서 나는 고기, 사포닌",20221230
788,"“갈빗살이 팔팔팔 살아있을 때 살을 발라, 정성으로 구워야 제맛”","동두천역은 경기도에 위치하며 서울과 북한 원산을 잇고 있는 곳이다. 6.25 전에는 우시장이 자리하고 있었다고 한다. 현재는 우시장이 남아있지 않지만 떡갈비 식당만이 자리를 지키며 과거의 모습을 보여주고 있다. 경기, 서울지방을 중심으로 떡갈비는 지역마다 다양한 조리법을 가지고 있다. 30년이나 지났지만 동두천만의 떡갈비 맛을 보존하기 위해 한결같은 조리법을 유지하고 있다.",우리 음식의 맛과 이야기,https://minio.nculture.org/amsweb-opt/multimedia_assets/215/25984/10767/c/25984-thumb.jpg,https://ncms.nculture.org/food/story/1939,해당없음,경기도,동두천시,경기 동두천시 어수로4(상패동) 시민회관,송월관,0318652428,경기도 동두천시 큰시장로 28-10,20181106,"떡갈비, 동두천 떡갈비, 동두천, 우시장, 석쇠",20221230
789,"냉면의 남남북녀, 북에 평양냉면이 있다면 남에는 진주냉면이 있다","진주냉면은 조선 시대부터 한강 이남을 대표하는 냉면으로서 해물을 끓여낸 장국과 쇠고기 국물을 배합한 육수에 메밀국수를 말아서 만든 경상남도 진주시의 향토음식이다. 진주는 산과 강, 바다 등지에서 나는 풍부한 물산과 조세가 집합되는 지정학적 배경으로 인해 냉면이 발달할 수 있었다.",지역 향토 음식,,https://ncms.nculture.org/food/story/1940,조선-조선 전체,경상남도,진주시,경남 진주시 진양호로 476(남성동3-18),송기원진주냉면,0557582210,경상남도 진주시 모덕로47번길 1-2,20180328,"평양냉면, 냉면, 물냉면, 경상남도, 진주시, 향토음식, 진주냉면",20221230
790,"냉면의 남남북녀, 북에 평양냉면이 있다면 남에는 진주냉면이 있다","진주냉면은 조선 시대부터 한강 이남을 대표하는 냉면으로서 해물을 끓여낸 장국과 쇠고기 국물을 배합한 육수에 메밀국수를 말아서 만든 경상남도 진주시의 향토음식이다. 진주는 산과 강, 바다 등지에서 나는 풍부한 물산과 조세가 집합되는 지정학적 배경으로 인해 냉면이 발달할 수 있었다.",지역 향토 음식,,https://ncms.nculture.org/food/story/1940,조선-조선 전체,경상남도,진주시,경남 진주시 진양호로 476(남성동3-18),진주냉면,0557452000,경상남도 진주시 평거로13번길 21-1,20180328,"평양냉면, 냉면, 물냉면, 경상남도, 진주시, 향토음식, 진주냉면",20221230
791,"냉면의 남남북녀, 북에 평양냉면이 있다면 남에는 진주냉면이 있다","진주냉면은 조선 시대부터 한강 이남을 대표하는 냉면으로서 해물을 끓여낸 장국과 쇠고기 국물을 배합한 육수에 메밀국수를 말아서 만든 경상남도 진주시의 향토음식이다. 진주는 산과 강, 바다 등지에서 나는 풍부한 물산과 조세가 집합되는 지정학적 배경으로 인해 냉면이 발달할 수 있었다.",지역 향토 음식,,https://ncms.nculture.org/food/story/1940,조선-조선 전체,경상남도,진주시,경남 진주시 진양호로 476(남성동3-18),하연옥,0557460525,경상남도 진주시 진주대로 1317-20,20180328,"평양냉면, 냉면, 물냉면, 경상남도, 진주시, 향토음식, 진주냉면",20221230
792,"냉면의 남남북녀, 북에 평양냉면이 있다면 남에는 진주냉면이 있다","진주냉면은 조선 시대부터 한강 이남을 대표하는 냉면으로서 해물을 끓여낸 장국과 쇠고기 국물을 배합한 육수에 메밀국수를 말아서 만든 경상남도 진주시의 향토음식이다. 진주는 산과 강, 바다 등지에서 나는 풍부한 물산과 조세가 집합되는 지정학적 배경으로 인해 냉면이 발달할 수 있었다.",지역 향토 음식,,https://ncms.nculture.org/food/story/1940,조선-조선 전체,경상남도,진주시,경남 진주시 진양호로 476(남성동3-18),황포냉면,0557627433,경상남도 진주시 호탄길34번길 10,20180328,"평양냉면, 냉면, 물냉면, 경상남도, 진주시, 향토음식, 진주냉면",20221230
793,알고 계시죠? 신숙주의 숙주나물,녹두나룸이라고도 불리는 숙주나물은 녹두를 키운 숙주를 데친 후 무쳐낸 나물이다. 숙주나물은 조선시대 문신 신숙주와 연관되어 불리는 이름이기도 하다.&nbsp; 특히 추석의 별식으로 먹는다.,향토음식의 유래와 역사,https://minio.nculture.org/amsweb-opt/multimedia_assets/115/25461/7324/c/25461-thumb.jpg,https://ncms.nculture.org/food/story/1941,조선-조선 전기(1392~1592),서울특별시,종로구,서울시 종로구 숭인동 1385,,,,20180429,"숙주나물, 신숙주, 향토음식, 음식의 유래, 녹두, 단종, 세조, 사육신",20221230
794,"추억으로 만든 콜비치즈, 어릴 때 밥에 비벼 먹었어요.","임실에서 치즈가 생산된 것은 지정환(본명 디디에 세르스테반스,Didier t'Serstevens)신부와의 인연 때문이다. 그는임실로 온 당시 가난에 지쳐있는 주민들의 건강을 산양의 젖으로 챙겼다.&nbsp; 우유 뿐만 아니라 치즈를 만들고자 생각했지만 뜻대로 되지 않아 유럽에서 치즈 제조 기술을 배웠다.&nbsp; 지금의 임실마을은 한국 최초의 치즈제조와 판매라는 성공적인 업적을 이루게 되었다.&nbsp;",우리 음식의 맛과 이야기,https://minio.nculture.org/amsweb-opt/multimedia_assets/58/29444/12527/c/임실치즈모둠_resized-thumb.jpg,https://ncms.nculture.org/food/story/1942,해당없음,전라북도,임실군,,두마리목장,0636447590,전라북도 임실군 임실읍 치즈마을길 193,20191210,"임실치즈마을, 콜비치즈",20221230
795,달착지근한 쪽파와 해산물을 찹쌀 반죽으로 지져야 동래파전,"흔히 파전이라 하면 바삭하게 기름에 구워진 밀가루 파전을 생각하지만 부산 동래파전은 쪽파가 주인공이다. 유채씨기름 위에 쪽파를 가지런히 눕히고 찹쌀반죽을 뿌린 뒤 굴, 새우, 대합을 얹고 계란을 하나 툭 깨어 올린 후 뚜껑을 덮어 굽는다. 동래시장 난전에서 팔던 동래파전은 어느새 지역 특산 음식이 되었다.&nbsp;",우리 음식의 맛과 이야기,https://minio.nculture.org/amsweb-opt/multimedia_assets/246/29382/12414/c/파전-조리-thumb.jpg,https://ncms.nculture.org/food/story/1943,현대-현대(1945.8.15~현재),부산광역시,동래구,부산광역시 동래구 복천동 동래시장길 14,동래할매파전,0515520792,부산광역시 동래구 명륜로94번길 43-10,20191015,"파, 동래, 파전, 부침",20221230
796,"여름철 별미! 시원하게 먹는 사각만두, 개성편수, 변씨만두","개성 지방의 향토 음식인 편수는 주로 여름에 먹는 만두이다. 겨울철에 먹는 일반 만두와는 달리 네모난 모양이다. 만두 속을 채우는 소의 재료도 쇠고기, 계란 지단, 호박, 오이, 버섯 등을 섞어서 담백하게 만드는 것이 특징이다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/192/25856/10749/c/25856-thumb.jpg,https://ncms.nculture.org/food/story/1944,시대미상,경기도,수원시,"경기도 수원시 팔달구 인계로 178, 6층",,,,20180514,"향토음식, 개성, 편수, 여름",20221230
797,"안동의 '명품' 소울푸드, 버버리찰떡",안동 버버리 찰떡은 쪄낸 찹쌀을 떡메로 쳐서 고물을 묻혀낸 떡으로 경상북도 안동지역 주민들이 간식으로 애호하는 향토음식이다.,지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/159/25666/7429/c/25666-thumb.jpg,https://ncms.nculture.org/food/story/1945,근대-일제강점기(1910.8.22~1945.8.14),경상북도,안동시,경북 안동시 서동문로 203(동부동),버버리찰떡,0548430106,경상북도 안동시 제비원로 128,20180328,"버버리, 찰떡, 경상북도, 안동시, 안동, 안동명물, 향토음식",20221230
798,“섬진강 참게탕은 들깻물을 넣고 부글부글 끓여야 옛 맛”,"섬진강은 수질이 좋은 하천으로 봄에는 은어, 가을에는 참게가 난다. 은어는 회와 튀김으로 먹는데, 가시가 많아 뼈에 걸리기 십상이다. 은어튀김을 꼬리부터 먹으면 가시가 걸리지 않는다고 한다. 살이 차지고 향긋한 섬진강 참게를 탕으로 끓일 때는 들깻물과 된장을 넣는다. 참게딱지에 밥까지 비벼 먹으면 밥 한그릇이 모자라다. 참게맛을 알게 되면 대게는 심심해서 못 먹게 된다는 말이 있을 정도다.&nbsp;",우리 음식의 맛과 이야기,https://minio.nculture.org/amsweb-opt/multimedia_assets/68/27831/18788/c/27831-thumb.jpg,https://ncms.nculture.org/food/story/1946,해당없음,전라남도,곡성군,전라남도 곡성군,새수궁가든,0613634633,전라남도 곡성군 죽곡면 섬진강로 1015-2,20190910,"향토음식, 은어, 전남곡성",20221230
799,"“붕장어는 통통하니 놀자근한 것, 입이 짤막한 것이 담백하고 맛있지”","장어의 종류는 민물장어, 먹장어(곰장어), 붕장어, 갯장어 등이다. 도시의 포장마차에서 흔히 볼 수 있는 민물장어, 먹장어와 달리 붕장어는 남해안 지역에서 볼 수 있다.&nbsp;붕장어는 비늘이 없고 입이 둥글고 이빨이 약하다. 옆으로 흰점이 줄줄이 나 있고, 가시가 적고 살이 부드러워 먹기에 좋다. 예전에는 장어회로 많이 먹었으나 기름이 많아 구이로 먹어도 맛있다.&nbsp;&nbsp;",우리 음식의 맛과 이야기,https://minio.nculture.org/amsweb-opt/multimedia_assets/67/27824/8304/c/27824-thumb.jpg,https://ncms.nculture.org/food/story/1947,해당없음,전라남도,고흥군,전라남도 고흥군,혜진횟집,0618334322,전라남도 고흥군 두원면 두원로 1306-1,20190910,"붕장어, 붕장어구이, 전남고흥, 향토음식, 장어",20221230
800,"물 인심 다음으로 후하다는 꼬막 인심, 벌교 꼬막무침","꼬막무침은 벌교 여자만(汝自灣)의 갯벌에서 채취한 꼬막을 삶아서 매콤한 양념에 버무려서 무친 전라남도 보성군 벌교읍의 향토음식이다. 전라남도 보성군 벌교읍 회정리 일대에는 꼬막식당거리가 형성되어 있어 꼬막탕, 꼬막무침, 꼬막파전, 양념꼬막 외에 다양한 꼬막요리를 맛볼 수 있다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/85/29764/14282/c/%EB%B2%8C%EA%B5%90%EA%BC%AC%EB%A7%89%EC%B6%95%EC%A0%9C2019-11-02-16.37.44-thumb.jpg,https://ncms.nculture.org/food/story/1948,해당없음,전라남도,보성군,전라남도 보성군 벌교읍,부용산꼬막식당,0618573533,전라남도 보성군 벌교읍 벌교천1길 49,20180611,"꼬막무침, 벌교읍, 꼬막, 참꼬막, 전라남도, 보성군, 향토음식, 새꼬막, 피조개, 태백산맥",20221230
801,"물 인심 다음으로 후하다는 꼬막 인심, 벌교 꼬막무침","꼬막무침은 벌교 여자만(汝自灣)의 갯벌에서 채취한 꼬막을 삶아서 매콤한 양념에 버무려서 무친 전라남도 보성군 벌교읍의 향토음식이다. 전라남도 보성군 벌교읍 회정리 일대에는 꼬막식당거리가 형성되어 있어 꼬막탕, 꼬막무침, 꼬막파전, 양념꼬막 외에 다양한 꼬막요리를 맛볼 수 있다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/85/29764/14282/c/%EB%B2%8C%EA%B5%90%EA%BC%AC%EB%A7%89%EC%B6%95%EC%A0%9C2019-11-02-16.37.44-thumb.jpg,https://ncms.nculture.org/food/story/1948,해당없음,전라남도,보성군,전라남도 보성군 벌교읍,외서댁꼬막나라,0618583330,전라남도 보성군 벌교읍 조정래길 56,20180611,"꼬막무침, 벌교읍, 꼬막, 참꼬막, 전라남도, 보성군, 향토음식, 새꼬막, 피조개, 태백산맥",20221230
